iter	Passed	Remaining
418	2632	3649
419	2637	3642
420	2642	3634
421	2648	3628
422	2654	3621
423	2661	3615
424	2667	3608
425	2673	3601
426	2680	3597
427	2688	3593
428	2694	3586
429	2700	3579
430	2706	3572
431	2711	3565
432	2717	3558
433	2723	3552
434	2729	3545
435	2736	3539
436	2742	3533
437	2749	3528
438	2756	3522
439	2763	3516
440	2769	3510
441	2776	3505
442	2783	3499
443	2790	3493
444	2796	3487
445	2802	3481
446	2808	3474
447	2815	3468
448	2821	3462
449	2827	3455
450	2833	3449
451	2839	3442
452	2845	3436
453	2851	3429
454	2857	3422
455	2864	3417
456	2870	3410
457	2876	3404
458	2882	3397
459	2888	3391
460	2894	3384
461	2900	3377
462	2906	3371
463	2912	3364
464	2918	3357
465	2926	3353
466	2933	3348
467	2940	3342
468	2948	3337
469	2956	3333
470	2963	3328
471	2971	3324
472	2979	3320
473	2987	3315
474	2996	3311
475	3004	3306
476	3012	3302
477	3020	3298
478	3029	3294
479	3038	3291
480	3048	3288
481	3056	3284
482	3065	3281
483	3072	3275
484	3080	3271
485	3088	3266
486	3097	3262
487	3105	3258
488	3113	3253
489	3120	3248
490	3128	3243
491	3135	3237
492	3142	3231
493	3148	3225
494	3154	3217
495	3159	3210
496	3165	3204
497	3172	3197
498	3178	3191
499	3185	3185
500	3191	3178
501	3197	3172
502	3203	3164
503	3209	3158
504	3215	3151
505	3220	3144
506	3229	3140
507	3234	3132
508	3241	3126
509	3246	3119
510	3252	3112
511	3258	3106
512	3264	3099
513	3270	3092
514	3277	3086
515	3283	3079
516	3288	3072
517	3294	3065
518	3300	3059
519	3307	3052
520	3313	3045
521	3320	3040
522	3326	3033
523	3331	3026
524	3338	3020
525	3343	3013
526	3350	3006
527	3356	3000
528	3362	2994
529	3368	2987
530	3374	2980
531	3380	2973
532	3386	2967
533	3392	2960
534	3398	2953
535	3404	2947
536	3411	2941
537	3417	2934
538	3424	2928
539	3430	2922
540	3437	2916
541	3443	2909
542	3449	2903
543	3455	2896
544	3461	2889
545	3466	2882
546	3473	2876
547	3478	2869
548	3485	2863
549	3491	2856
550	3497	2849
551	3504	2844
552	3510	2837
553	3516	2830
554	3522	2824
555	3528	2817
556	3535	2811
557	3541	2804
558	3546	2798
559	3553	2791
560	3559	2785
561	3565	2779
562	3571	2772
563	3577	2765
564	3584	2759
565	3590	2753
566	3597	2747
567	3604	2741
568	3610	2734
569	3616	2728
570	3622	2721
571	3628	2714
572	3634	2708
573	3640	2701
574	3647	2695
575	3654	2689
576	3660	2683
577	3668	2678
578	3674	2671
579	3680	2665
580	3687	2659
581	3696	2655
582	3703	2648
583	3709	2642
584	3716	2636
585	3723	2630
586	3729	2624
587	3736	2618
588	3743	2611
589	3749	2605
590	3756	2599
591	3762	2593
592	3769	2586
593	3775	2580
594	3782	2574
595	3788	2568
596	3794	2561
597	3801	2555
598	3807	2548
599	3813	2542
600	3819	2535
601	3825	2529
602	3832	2522
603	3837	2516
604	3844	2510
605	3851	2504
606	3857	2497
607	3863	2491
608	3870	2484
609	3876	2478
610	3882	2471
611	3888	2465
612	3894	2458
613	3900	2452
614	3906	2445
615	3912	2439
616	3918	2432
617	3924	2426
618	3930	2419
619	3936	2412
620	3942	2406
621	3948	2399
622	3954	2392
623	3959	2385
624	3965	2379
625	3972	2373
626	3979	2367
627	3986	2361
628	3992	2355
629	3999	2349
630	4005	2342
631	4011	2335
632	4017	2329
633	4023	2322
634	4030	2316
635	4040	2312
636	4046	2306
637	4053	2299
638	4059	2293
639	4065	2286
640	4071	2280
641	4078	2274
642	4084	2267
643	4090	2261
644	4096	2254
645	4103	2248
646	4110	2242
647	4117	2236
648	4123	2230
649	4129	2223
650	4136	2217
651	4142	2210
652	4148	2204
653	4155	2198
654	4161	2192
655	4168	2185
656	4175	2179
657	4181	2173
658	4189	2167
659	4196	2161
660	4205	2156
661	4212	2150
662	4220	2145
663	4226	2138
664	4233	2132
665	4241	2126
666	4248	2121
667	4255	2115
668	4262	2108
669	4268	2102
670	4275	2096
671	4281	2089
672	4288	2083
673	4294	2077
674	4300	2070
675	4307	2064
676	4313	2058
677	4320	2051
678	4326	2045
679	4333	2039
680	4340	2033
681	4346	2026
682	4353	2020
683	4359	2014
684	4366	2007
685	4372	2001
686	4379	1995
687	4386	1989
688	4392	1982
689	4399	1976
690	4406	1970
691	4412	1964
692	4419	1958
693	4427	1951
694	4433	1945
695	4440	1939
696	4447	1933
697	4454	1927
698	4461	1921
699	4468	1915
700	4475	1908
701	4481	1902
702	4488	1896
703	4494	1889
704	4501	1883
705	4507	1877
706	4514	1870
707	4520	1864
708	4527	1858
709	4533	1851
710	4539	1845
711	4544	1838
712	4550	1831
713	4556	1825
714	4562	1818
715	4582	1817
716	4588	1810
717	4594	1804
718	4601	1798
719	4608	1792
720	4613	1785
721	4620	1779
722	4627	1772
723	4633	1766
724	4639	1759
725	4644	1752
726	4651	1746
727	4657	1740
728	4663	1733
729	4669	1727
730	4676	1720
731	4683	1714
732	4690	1708
733	4699	1703
734	4707	1697
735	4712	1690
736	4719	1684
737	4725	1677
738	4731	1670
739	4738	1664
740	4744	1658
741	4751	1652
742	4757	1645
743	4763	1639
744	4770	1632
745	4776	1626
746	4782	1619
747	4787	1612
748	4793	1606
749	4799	1599
750	4806	1593
751	4812	1587
752	4818	1580
753	4824	1574
754	4830	1567
755	4836	1561
756	4842	1554
757	4849	1548
758	4855	1541
759	4861	1535
760	4867	1528
761	4873	1522
762	4880	1515
763	4885	1509
764	4891	1502
765	4897	1496
766	4903	1489
767	4909	1483
768	4915	1476
769	4921	1470
770	4927	1463
771	4933	1456
772	4939	1450
773	4945	1444
774	4951	1437
775	4956	1430
776	4962	1424
777	4969	1417
778	4975	1411
779	4982	1405
780	4988	1398
781	4995	1392
782	5002	1386
783	5008	1379
784	5015	1373
785	5023	1367
786	5030	1361
787	5036	1354
788	5041	1348
789	5048	1342
790	5054	1335
791	5060	1329
792	5067	1322
793	5073	1316
794	5079	1309
