iter	Logloss
0	0.6835541305
1	0.6748239525
2	0.6664769468
3	0.6592499529
4	0.6523859435
5	0.6463666083
6	0.640287626
7	0.6350296193
8	0.6305212224
9	0.6261612371
10	0.6217615733
11	0.6182103527
12	0.614513896
13	0.6114372418
14	0.6089155989
15	0.6062157729
16	0.603841045
17	0.6016773722
18	0.5995808294
19	0.5977469388
20	0.5958433686
21	0.5942817184
22	0.5927530423
23	0.5915209543
24	0.5901473624
25	0.5891092769
26	0.5878797439
27	0.5867948501
28	0.5855752866
29	0.5844381756
30	0.5834536603
31	0.5826069865
32	0.5817081858
33	0.5809606405
34	0.580323243
35	0.5797698662
36	0.5791877365
37	0.5786243656
38	0.578154541
39	0.57757535
40	0.5770552501
41	0.5766811662
42	0.5762555315
43	0.5758329963
44	0.5752820068
45	0.5746880013
46	0.5741919619
47	0.5737982104
48	0.5735576771
49	0.5731900956
50	0.573089351
51	0.5724680798
52	0.5721097179
53	0.5717387491
54	0.5714276442
55	0.5711398866
56	0.570737492
57	0.5704377986
58	0.5701225657
59	0.5697810666
60	0.569452919
61	0.5691615782
62	0.5688852076
63	0.5686574033
64	0.5683289692
65	0.5681065143
66	0.5676799502
67	0.5673435506
68	0.5670602536
69	0.5668438932
70	0.5666488006
71	0.566440846
72	0.5661804909
73	0.5659517573
74	0.5656156706
75	0.5654505601
76	0.5652394516
77	0.5650274774
78	0.5648321308
79	0.5646112437
80	0.5644496118
81	0.5642337445
82	0.564098775
83	0.563912833
84	0.5637741776
85	0.5636475255
86	0.5634484362
87	0.5632655101
88	0.5629802031
89	0.5628322196
90	0.56261345
91	0.5623971672
92	0.5621517696
93	0.5619937417
94	0.5617322929
95	0.5615928072
96	0.5613483868
97	0.5612322684
98	0.5610886702
99	0.5609453417
100	0.5606887789
101	0.5605490295
102	0.5604218746
103	0.5602437426
104	0.5600564636
105	0.5598734996
106	0.559699057
107	0.5595880981
108	0.5594375554
109	0.5592592899
110	0.5590583747
111	0.5588030949
112	0.5586083376
113	0.5584680012
114	0.5583687372
115	0.5581549873
116	0.5580049271
117	0.5578327289
118	0.5577223354
119	0.5575659265
120	0.5574158424
121	0.5572508972
122	0.5570828608
123	0.556925104
124	0.5567810499
125	0.5567129332
126	0.5564859996
127	0.5564116158
128	0.5562278135
129	0.5560948318
130	0.5559415321
131	0.5558038686
132	0.5556747576
133	0.5555139409
134	0.5553607953
135	0.5552733315
136	0.5551805674
137	0.5550339846
138	0.5548717332
139	0.5546629843
140	0.5545746636
141	0.554454366
142	0.554333599
143	0.5542168239
144	0.5540673084
145	0.5538949465
146	0.5536920582
147	0.5535725254
148	0.5534231809
149	0.5532567236
150	0.5531429947
151	0.5530464823
152	0.5529177092
153	0.5527154813
154	0.5526127898
155	0.5524857978
156	0.5524107752
157	0.5523004088
158	0.5521800293
159	0.5520032055
160	0.5518325582
161	0.5516931466
162	0.5514882349
163	0.5513654713
164	0.5512238937
165	0.5510796513
166	0.5509539262
167	0.5508462703
168	0.5506728573
169	0.5505687009
170	0.5504735141
171	0.5502527484
172	0.5500870341
173	0.5499968146
174	0.5498689099
175	0.5496995263
176	0.5495544901
177	0.5494231498
178	0.5492918935
179	0.5491527988
180	0.5489719369
181	0.548835649
182	0.5487157389
183	0.5485895992
184	0.548548785
185	0.5484012866
186	0.5482692414
187	0.5481298382
188	0.5479806582
189	0.5478800226
190	0.5476906885
191	0.5475402819
192	0.5474215892
193	0.5472606798
194	0.5470554379
195	0.5469599089
196	0.5467801205
197	0.5466631561
198	0.5464744218
199	0.5462805501
200	0.5461402717
201	0.5459545161
202	0.5458093159
203	0.5457178649
204	0.5456199229
205	0.5454753664
206	0.5453727302
207	0.5452745166
208	0.5451791882
209	0.5451076345
210	0.5449512996
211	0.5448103643
212	0.544718566
213	0.5446412929
214	0.5445502415
215	0.5444318727
216	0.5442765581
217	0.5442093358
218	0.5440427508
219	0.543910595
220	0.5437277619
221	0.5436334487
222	0.5435369555
223	0.5434327573
224	0.5432432542
225	0.5431259434
226	0.5429688862
227	0.5428260159
228	0.5426695194
229	0.5425629281
230	0.5424005735
231	0.5422507126
232	0.5420581532
233	0.5419527403
234	0.5418584029
235	0.5417347626
236	0.5415919751
237	0.5414775479
238	0.5413944183
239	0.5413538249
240	0.541243519
241	0.5411158117
242	0.5409513968
243	0.5407727863
244	0.540640328
245	0.5404915466
246	0.5403829247
247	0.5402455255
248	0.5401111174
249	0.5399435399
250	0.5399019057
251	0.5397629625
252	0.539647218
253	0.5395381706
254	0.5393917224
255	0.539227931
256	0.5391593822
257	0.5390426341
258	0.5389217296
259	0.5387548954
260	0.5386874221
261	0.538582776
262	0.5384429691
263	0.5382891739
264	0.538209036
265	0.5380805509
266	0.5378773678
267	0.5377057446
268	0.5375596213
269	0.5374579341
270	0.5372761656
271	0.537185041
272	0.5369932678
273	0.5368332497
274	0.5367178949
275	0.5365834391
276	0.5365104474
277	0.5363744046
278	0.5362557764
279	0.5360671137
280	0.5359877059
281	0.5357753786
282	0.5356239708
283	0.5354862796
284	0.5353015516
285	0.5351226516
286	0.5349631579
287	0.5348230894
288	0.5346747449
289	0.5344887942
290	0.5343555986
291	0.5342289306
292	0.5340714854
293	0.533876133
294	0.5336954898
295	0.5335451402
296	0.533403458
297	0.5332601035
298	0.5331010976
299	0.5329235536
300	0.5327513332
301	0.5325900557
302	0.532469275
303	0.5322660656
304	0.5320641297
305	0.5319231767
306	0.5318175928
307	0.5316577266
308	0.5314701003
309	0.531378239
310	0.5312606172
311	0.5310940002
312	0.5310383863
313	0.530955309
314	0.5308621508
315	0.5307183848
316	0.5306024852
317	0.5304618689
318	0.5303775402
319	0.5302927222
320	0.5301689746
321	0.5300645339
322	0.5299450663
323	0.5298171801
324	0.5296686406
325	0.5295366207
326	0.5293839099
327	0.5292701637
328	0.529148225
329	0.5290366119
330	0.5288657963
331	0.5287381095
332	0.5286327835
333	0.5284921126
334	0.5284305372
335	0.5283134831
336	0.5281873001
337	0.5280644706
338	0.5278918488
